frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,sclk,sol
ROVER,8,0,0,-73.378,323.375,11.81,-272112.646,8147134.598,-4.590704928,-4.644990491,137.4470885,-4512.85,2394.58,24386.39,599.57,6097.11,-3.295,1.204,-162.28,427068249,333
ROVER,8,132,-1,-101.763,302.558,9.96,-272141.031,8147113.781,-4.5911838,-4.645474976,137.4467373,-4511,2508.12,24303.12,627.96,6076.29,2.146,5.663,-141.069,427234963,335
ROVER,8,234,-1,-117.648,275.939,8.1,-272156.916,8147087.162,-4.591451789,-4.645746107,137.4462883,-4509.14,2571.66,24196.65,643.84,6049.67,-0.258,5.333,-120.11,427323034,336
ROVER,8,494,-1,-136.406,243.423,5.84,-272175.674,8147054.646,-4.591768248,-4.646066276,137.4457397,-4506.88,2646.7,24066.58,662.6,6017.15,-1.419,4.454,-117.919,427416322,337
ROVER,8,610,-1,-155.007,216.748,3.83,-272194.275,8147027.971,-4.592082058,-4.646383764,137.4452897,-4504.87,2721.1,23959.88,681.2,5990.48,-1.711,3.704,-122.416,427501344,338
SITE,9,-1,-1,-212.166,155.125,2.88,-272251.434,8146966.348,-4.593046365,-4.647359374,137.44425,-4503.92,2949.74,23713.39,738.36,5928.86,0,0,0,427685449,340
ROVER,9,0,0,-212.166,155.125,2.88,-272251.434,8146966.348,-4.593046365,-4.647359374,137.44425,-4503.92,2949.74,23713.39,738.36,5928.86,1.599,-0.604,-117.354,427685449,340
ROVER,9,236,-1,-258.685,119.711,-0.05,-272297.953,8146930.934,-4.593831169,-4.648153377,137.4436526,-4500.99,3135.81,23571.74,784.88,5893.44,1.642,3.73,-153.338,427858740,342
ROVER,9,366,-1,-259.031,87.177,-0.88,-272298.299,8146898.4,-4.593837006,-4.648159283,137.4431037,-4500.16,3137.2,23441.6,785.22,5860.91,3.019,2.264,-118.559,427947549,343
SITE,10,-1,-1,-272.916,19.779,-1.37,-272312.184,8146831.002,-4.594071254,-4.648396277,137.4419667,-4499.67,3192.74,23172.01,799.11,5793.51,0,0,0,428038072,344
ROVER,10,0,0,-272.916,19.779,-1.37,-272312.184,8146831.002,-4.594071254,-4.648396277,137.4419667,-4499.67,3192.74,23172.01,799.11,5793.51,-4.326,0.268,-119.5,428038072,344
ROVER,10,288,-1,-308.113,-37.592,-1.37,-272347.381,8146773.631,-4.594665049,-4.648997032,137.4409988,-4499.67,3333.52,22942.52,834.31,5736.14,-0.143,-2.338,-124.771,428121478,345
ROVER,10,508,-1,-338.732,-87.565,-1.64,-272378,8146723.658,-4.59518161,-4.649519648,137.4401557,-4499.4,3456,22742.63,864.92,5686.17,-4.119,-1.321,-149.804,428296000,347
SITE,11,-1,-1,-405.503,-104.03,-0.84,-272444.771,8146707.193,-4.596308077,-4.650659319,137.4398779,-4500.2,3723.08,22676.77,931.7,5669.7,0,0,0,428490124,349
ROVER,11,0,0,-405.503,-104.03,-0.84,-272444.771,8146707.193,-4.596308077,-4.650659319,137.4398779,-4500.2,3723.08,22676.77,931.7,5669.7,0.669,0.693,-150.875,428490124,349
ROVER,11,302,-1,-438.158,-179.682,0.33,-272477.426,8146631.541,-4.596858987,-4.651216686,137.4386017,-4501.37,3853.7,22374.16,964.35,5594.05,0.324,1.814,-125.011,428653101,351
ROVER,11,522,-1,-435.798,-225.555,-0.55,-272475.066,8146585.668,-4.596819172,-4.651176405,137.4378277,-4500.49,3844.26,22190.67,961.99,5548.18,1.022,3.969,-125.016,428922255,354
ROVER,11,748,-1,-443.591,-274.002,-0.08,-272482.859,8146537.221,-4.596950645,-4.651309419,137.4370104,-4500.96,3875.44,21996.88,969.78,5499.73,1.073,-0.195,-154.941,429099474,356
SITE,12,-1,-1,-476.98,-279.131,-0.47,-272516.248,8146532.092,-4.597513937,-4.651879314,137.4369239,-4500.57,4008.99,21976.37,1003.17,5494.6,0,0,0,429282771,358
ROVER,12,0,0,-476.98,-279.131,-0.47,-272516.248,8146532.092,-4.597513937,-4.651879314,137.4369239,-4500.57,4008.99,21976.37,1003.17,5494.6,-2.054,3.435,-165.913,429282771,358
ROVER,12,244,-1,-539.209,-310.032,0.38,-272578.477,8146501.191,-4.598563778,-4.65294146,137.4364026,-4501.42,4257.91,21852.76,1065.4,5463.7,-1.484,3.587,-157.022,429543008,361
ROVER,12,560,-1,-563.738,-388.336,1.02,-272603.006,8146422.887,-4.598977597,-4.65336013,137.4350815,-4502.06,4356.02,21539.55,1089.93,5385.39,-1.539,-0.339,-144.117,429721227,363
ROVER,12,690,-1,-579.252,-409.176,1.03,-272618.52,8146402.047,-4.599239328,-4.653624928,137.43473,-4502.07,4418.08,21456.19,1105.44,5364.55,-1.864,0.714,-134.89,429900863,365
SITE,13,-1,-1,-617.886,-467.86,2.37,-272657.154,8146343.363,-4.599891107,-4.654284347,137.4337399,-4503.41,4572.62,21221.45,1144.08,5305.87,0,0,0,430259875,369
ROVER,13,0,0,-617.886,-467.86,2.37,-272657.154,8146343.363,-4.599891107,-4.654284347,137.4337399,-4503.41,4572.62,21221.45,1144.08,5305.87,-2.74,0.564,-145.095,430259875,369
ROVER,13,292,-1,-624.605,-537.793,2.21,-272663.873,8146273.43,-4.60000446,-4.654399029,137.4325601,-4503.25,4599.49,20941.72,1150.8,5235.94,-0.504,0.835,-150.27,430345675,370
ROVER,13,974,-1,-638.728,-626.078,2.25,-272677.996,8146185.145,-4.600242724,-4.654640086,137.4310707,-4503.29,4655.98,20588.58,1164.92,5147.65,-4.917,6.093,-155.861,430435107,371
